"cell","ttype","ttype_sub","layer"
"SM-GE8WX_S051_E1-50","Sncg","Sncg Vip Itih5","5"
"SM-GE8WX_S065_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","2/3"
"SM-GE8WX_S047_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8WX_S053_E1-50","Sst","Sst Esm1","5"
"SM-GE8WX_S048_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8WX_S062_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8WX_S054_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8WX_S049_E1-50","Sst","Sst Chodl","6"
"SM-GE8WX_S082_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8WX_S073_E1-50","Sst","Sst Chodl","6"
"SM-GE8WX_S083_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8WX_S092_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8WX_S084_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE8WX_S075_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8X2_S109_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8WX_S076_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE8WX_S086_E1-50","Pvalb","Pvalb Gpr149 Islr","6"
"SM-GE8X2_S110_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8WX_S093_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE8X2_S111_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8X2_S112_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE8WX_S087_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE8WX_S088_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE8WX_S079_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8X2_S123_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8WX_S089_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE8WX_S080_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE8WX_S081_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE8WX_S096_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE8X2_S131_E1-50","Pvalb","Pvalb Calb1 Sst","6"
"SM-GE8X2_S133_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8X2_S134_E1-50","Pvalb","Pvalb Reln Itm2a","6"
"SM-GE8X2_S128_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8X2_S129_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8X2_S130_E1-50","Sst","Sst Esm1","6"
"SM-GE8X2_S136_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8X2_S158_E1-50","Sst","Sst Myh8 Etv1 ","6"
"SM-GE8X2_S147_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8X2_S140_E1-50","Sst","Sst Hpse Cbln4","6"
"SM-GE8X2_S148_E1-50","Sst","Sst Mme Fam114a1","6"
"SM-GE8X2_S141_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8X2_S149_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE8X2_S150_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8X2_S142_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8X2_S159_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE8X2_S151_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE8X2_S143_E1-50","Pvalb","Pvalb Gpr149 Islr","5"
"SM-GE8X2_S153_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE8X2_S154_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE8X2_S145_E1-50","Pvalb","Pvalb Gabrg1","5"
"SM-GE8X2_S160_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE8X2_S157_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE8X2_S161_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE8X2_S183_E1-50","Sst","Sst Nts","6"
"SM-GE8X2_S174_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8X2_S192_E1-50","Sst","Sst Hpse Sema3c","4"
"SM-GE8X2_S184_E1-50","Sst","Sst Mme Fam114a1","2/3"
"SM-GE8X2_S175_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE8X2_S176_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE8X2_S177_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8X2_S169_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8X2_S170_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8X2_S171_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE8X2_S178_E1-50","Vip","Vip Lmo1 Fam159b","2/3"
"SM-GE8X2_S187_E1-50","Pvalb","Pvalb Vipr2","1"
"SM-GE8X2_S188_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8X2_S179_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE8X2_S189_E1-50","Pvalb","Pvalb Gpr149 Islr","5"
"SM-GE8X2_S180_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE681_S027_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE8X2_S172_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8X2_S181_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE8X2_S191_E1-50","Pvalb","Pvalb Vipr2","2/3"
"SM-GE681_S029_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE8X2_S182_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE681_S046_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE681_S053_E1-50","Sst","Sst Esm1","5"
"SM-GE681_S050_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE681_S047_E1-50","Sst","Sst Chodl","6"
"SM-GE681_S040_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE681_S039_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE681_S041_E1-50","Sst","Sst Esm1","5"
"SM-GE681_S043_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE681_S057_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE681_S044_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE681_S059_E1-50","Sst","Sst Chodl","1"
"SM-GE681_S076_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE681_S068_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE681_S077_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE681_S069_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE681_S070_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE681_S081_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE681_S080_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE681_S086_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE681_S088_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE681_S071_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE681_S065_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE681_S083_E1-50","Serpinf1","Serpinf1 Clrn1","5"
"SM-GE8WR_S001_E1-50","Pvalb","Pvalb Reln Itm2a","6"
"SM-GE681_S066_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE681_S075_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE681_S067_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE8WR_S013_E1-50","Sst","Sst Crhr2 Efemp1","5"
"SM-GE8WR_S014_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE8WR_S015_E1-50","Sst","Sst Esm1","6"
"SM-GE8WR_S006_E1-50","Sst","Sst Tac2 Myh4","6"
"SM-GE8WR_S010_E1-50","Lamp5","Lamp5 Plch2 Dock5","4"
"SM-GE8WR_S021_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE8WR_S004_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE8WR_S043_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE8WR_S044_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE8WR_S045_E1-50","Sst","Sst Chodl","2/3"
"SM-GE8WR_S046_E1-50","Sst","Sst Nr2f2 Necab1","6"
"SM-GE8WR_S047_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE8WR_S048_E1-50","Sst","Sst Calb2 Necab1","5"
"SM-GE8WR_S049_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8WR_S050_E1-50","Sst","Sst Chodl","5"
"SM-GE8WR_S051_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE8WR_S052_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE8WR_S059_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8WR_S074_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8WR_S075_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8WR_S076_E1-50","Vip","Vip Igfbp6 Car10","5"
"SM-GE8WR_S065_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE8WR_S077_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8WR_S066_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE8WR_S093_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE8WR_S053_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE8WR_S054_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE95A_S016_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8WR_S094_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE95A_S021_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE95A_S022_E1-50","Sst","Sst Esm1","6"
"SM-GE95A_S006_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8WR_S095_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE95A_S007_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE8WR_S096_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE95A_S008_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE95A_S001_E1-50","Sst","Sst Crh 4930553C11Rik ","5"
"SM-GE95A_S024_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE95A_S010_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE95A_S018_E1-50","Sst","Sst Tac1 Htr1d","4"
"SM-GE95A_S011_E1-50","Lamp5","Lamp5 Lsp1","4"
"SM-GE95A_S003_E1-50","Sst","Sst Tac1 Htr1d","5"
"SM-GE95A_S012_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE95A_S013_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE95A_S019_E1-50","Sst","Sst Esm1","6"
"SM-GE95A_S014_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE95A_S005_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE95A_S015_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE95A_S020_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE8WR_S092_E1-50","Sst","Sst Chrna2 Glra3","5"
"SM-GE95A_S030_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE95A_S053_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE95A_S031_E1-50","Sst","Sst Calb2 Necab1","5"
"SM-GE95A_S032_E1-50","Vip","Vip Pygm C1ql1","4"
"SM-GE95A_S054_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE95A_S050_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE95A_S026_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE95A_S055_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE95A_S033_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE95A_S051_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE95A_S034_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE95A_S041_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE95A_S035_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE95A_S028_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE95A_S042_E1-50","Pvalb","Pvalb Reln Tac1","4"
"SM-GE95A_S056_E1-50","Sncg","Sncg Vip Itih5","4"
"SM-GE95A_S036_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE95A_S044_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE95A_S045_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE95A_S037_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE95A_S057_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE95A_S038_E1-50","Sst","Sst Crh 4930553C11Rik ","5"
"SM-GE95A_S058_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE95A_S046_E1-50","Lamp5","Lamp5 Fam19a1 Pax6","1"
"SM-GE95A_S059_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE95A_S039_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE95A_S047_E1-50","Sst","Sst Calb2 Necab1","4"
"SM-GE95A_S060_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE95A_S061_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE95A_S062_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE95A_S085_E1-50","Vip","Vip Chat Htr1f","5"
"SM-GE95A_S080_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE95A_S064_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE95A_S086_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE95A_S087_E1-50","Vip","Vip Arhgap36 Hmcn1","4"
"SM-GE95A_S081_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","4"
"SM-GE95A_S082_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE95A_S083_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE95A_S074_E1-50","Vip","Vip Igfbp4 Mab21l1","2/3"
"SM-GE95A_S088_E1-50","Pvalb","Pvalb Sema3e Kank4","5"
"SM-GE95A_S084_E1-50","Sst","Sst Esm1","6"
"SM-GE95A_S075_E1-50","Lamp5","Lamp5 Lhx6","5"
"SM-GE95A_S094_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE95A_S077_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE953_S005_E1-50","Sst","Sst Tac1 Htr1d","4"
"SM-GE953_S015_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE953_S006_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE953_S007_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE953_S021_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE953_S016_E1-50","Sst","Sst Tac1 Htr1d","4"
"SM-GE953_S008_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE953_S009_E1-50","Sst","Sst Mme Fam114a1","6"
"SM-GE953_S017_E1-50","Sst","Sst Calb2 Pdlim5","1"
"SM-GE953_S022_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE953_S018_E1-50","Sst","Sst Mme Fam114a1","2/3"
"SM-GE953_S011_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE953_S012_E1-50","Sst","Sst Crh 4930553C11Rik ","5"
"SM-GE953_S013_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE953_S030_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE953_S031_E1-50","Sst","Sst Chodl","5"
"SM-GE953_S023_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE953_S058_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE953_S060_E1-50","Pvalb","Pvalb Tpbg","4"
"SM-GE953_S061_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE953_S053_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE953_S050_E1-50","Sst","Sst Chodl","5"
"SM-GE953_S032_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE953_S062_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE953_S051_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE953_S052_E1-50","Lamp5","Lamp5 Lhx6","6"
"SM-GE953_S054_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE953_S026_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE953_S055_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE953_S035_E1-50","Sst","Sst Chodl","6"
"SM-GE953_S037_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE953_S057_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE953_S028_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE953_S068_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE953_S081_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE953_S075_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE953_S082_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE953_S083_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE953_S077_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE953_S084_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE953_S070_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE953_S080_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE953_S073_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE94R_S128_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE94R_S136_E1-50","Sst","Sst Nts","6"
"SM-GE94R_S137_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE94R_S132_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE94R_S130_E1-50","Sst","Sst Hpse Cbln4","2/3"
"SM-GE94R_S133_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE94R_S138_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE94R_S153_E1-50","Vip","Vip Lect1 Oxtr","4"
"SM-GE94R_S146_E1-50","Vip","Vip Gpc3 Slc18a3","5"
"SM-GE94R_S147_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE94R_S155_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE94R_S148_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE94R_S144_E1-50","Vip","Vip Igfbp4 Mab21l1","4"
"SM-GE94R_S160_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE94R_S169_E1-50","Vip","Vip Arhgap36 Hmcn1","2/3"
"SM-GE94R_S170_E1-50","Sncg","Sncg Vip Itih5","5"
"SM-GE94R_S149_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE94R_S150_E1-50","Pvalb","Pvalb Sema3e Kank4","5"
"SM-GE94R_S158_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE94R_S171_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE94R_S159_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE94R_S152_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE94R_S142_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE94R_S143_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE94R_S185_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE94R_S177_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE94R_S186_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE94R_S174_E1-50","Vip","Vip Col15a1 Pde1a","5"
"SM-GE94J_S006_E1-50","Sncg","Sncg Vip Nptx2","4"
"SM-GE94R_S175_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE94R_S179_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE94R_S181_E1-50","Pvalb","Pvalb Reln Tac1","2/3"
"SM-GE94R_S187_E1-50","Sncg","Sncg Vip Itih5","5"
"SM-GE94R_S188_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94R_S189_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE94R_S190_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE94R_S183_E1-50","Lamp5","Lamp5 Lhx6","5"
"SM-GE94R_S191_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","5"
"SM-GE94J_S008_E1-50","Pvalb","Pvalb Tpbg","6"
"SM-GE94J_S010_E1-50","Sncg","Sncg Vip Nptx2","5"
"SM-GE94J_S016_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE94J_S017_E1-50","Vip","Vip Gpc3 Slc18a3","6"
"SM-GE94J_S034_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE94J_S013_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE94J_S046_E1-50","Vip","Vip Lmo1 Fam159b","2/3"
"SM-GE94J_S041_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE94J_S048_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE94J_S038_E1-50","Sncg","Sncg Vip Itih5","1"
"SM-GE94J_S039_E1-50","Vip","Vip Igfbp4 Mab21l1","5"
"SM-GE94J_S050_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE94J_S022_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE94J_S044_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE94J_S051_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","5"
"SM-GE94J_S023_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE94J_S056_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE94J_S069_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE94J_S060_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE94J_S061_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94J_S072_E1-50","Vip","Vip Lmo1 Myl1","5"
"SM-GE94J_S082_E1-50","Vip","Vip Pygm C1ql1","4"
"SM-GE94J_S083_E1-50","Vip","Vip Igfbp4 Mab21l1","5"
"SM-GE94J_S076_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE94J_S090_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE94J_S078_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE94J_S084_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94J_S085_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE94J_S086_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE94J_S087_E1-50","Sncg","Sncg Gpr50","5"
"SM-GE94J_S091_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94J_S088_E1-50","Sncg","Sncg Vip Itih5","6"
"SM-GE94J_S089_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE94J_S073_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE94J_S075_E1-50","Vip","Vip Ptprt Pkp2","5"
"SM-GE94J_S096_E1-50","Vip","Vip Rspo1 Itga4","2/3"
"SM-GE94B_S146_E1-50","Vip","Vip Lmo1 Fam159b","5"
"SM-GE94B_S123_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE94B_S125_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE94B_S126_E1-50","Lamp5","Lamp5 Lsp1","4"
"SM-GE94B_S127_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE94B_S149_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE94B_S128_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE94J_S093_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94B_S130_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE94J_S094_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94H_S101_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE94H_S102_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE94H_S103_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE94B_S189_E1-50","Sst","Sst Calb2 Necab1","2/3"
"SM-GE94H_S115_E1-50","Sst","Sst Calb2 Pdlim5","4"
"SM-GE94B_S185_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE94H_S116_E1-50","Sst","Sst Calb2 Necab1","4"
"SM-GE94B_S186_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE94H_S104_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE94B_S191_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE94H_S118_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE94H_S106_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE94H_S097_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE94H_S107_E1-50","Sst","Sst Crhr2 Efemp1","6"
"SM-GE94H_S098_E1-50","Vip","Vip Lmo1 Fam159b","6"
"SM-GE94H_S121_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE94H_S099_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE94H_S111_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE94H_S100_E1-50","Pvalb","Pvalb Calb1 Sst","6"
"SM-GE94B_S177_E1-50","Sst","Sst Mme Fam114a1","4"
"SM-GE94B_S179_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE94B_S180_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE94B_S182_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE94B_S183_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE94H_S143_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE94H_S154_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE94H_S144_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE94H_S155_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE94H_S145_E1-50","Sst","Sst Esm1","6"
"SM-GE94H_S156_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE94H_S138_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE94H_S139_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE94H_S146_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE94H_S140_E1-50","Sst","Sst Rxfp1 Prdm8","5"
